id,risks_text,gender_bin,gender_cat
179,Job losses,Man,Man
180,Something could go very wrong.,Woman,Woman
181,"Dark web use, foreign actor hacking",Woman,Woman
182,Dono,Woman,Woman
183,N/A,Man,Man
184,loseing control of actual true human actions,Man,Man
187,Taking jobs,Woman,Woman
188,Losing jobs and no more thought process for humans,Man,Man
192,I think that automation takes away too many human jobs,Man,Man
193, Losing control,Man,Man
194, There are too many risks,Man,Man
195,Skynet,Man,Man
196,People losing jobs,Woman,Woman
197,If in the wrong hands can be extremely dangerous,Man,Man
198,hurting people,Man,Man
202,That it may outgrow human control,Woman,Woman
204,None,Woman,Woman
209, It reduces interactions between individuals.,Man,Man
210, loss of humanity in commercial relationships,Woman,Woman
214," Fraud, misinformation",Woman,Woman
215, Total takeover by AI.,Man,Man
218," Robotization,  job losses...",Woman,Woman
221," The intangible human factor, such as ethics and morality.",Woman,Woman
222, Electric,Woman,Woman
223, That it takes up too much space at the expense of the limit,Woman,Woman
225, Short circuit ...,Woman,Woman
227, Losing jobs,Woman,Woman
229," Identity theft, data theft",Woman,Woman
230," That we become slaves of the instrument out of laziness,  idleness.",Man,Man
232, The destruction of humanity,Man,Man
233, Job loss,Woman,Woman
235,No idea,Man,Man
238," In terms of education,  I would be afraid that students would have their exams done by AI and that their results would not reflect their skills or competencies",Woman,Woman
239, I don't know,Woman,Woman
244, Impossible to differentiate between true and false,Woman,Woman
246, I don't know,Woman,Woman
249, The derailment,Woman,Woman
253, Unprotected personal data,Woman,Woman
255, Job loss,Woman,Woman
256, Loss of jobs,Woman,Woman
257,Don't know,Woman,Woman
258, None,Man,Man
259, No idea,Woman,Woman
261," Loss of work,  loss of humanity,  lean resignation in business",Woman,Woman
265,No idea,Woman,Woman
267, Identity theft,Woman,Woman
269, Job loss,Woman,Woman
270, Replacing humans. Without emotions,Woman,Woman
271, Decision-making exclusively by AI based on its own criteria. Disinformation using AI,Man,Man
273, Less control,Man,Man
274,Don’t know,Man,Man
275,No idea,Man,Man
281, Dumbing down of humans,Woman,Woman
285," Losing the human aspect, understanding of needs",Woman,Woman
287, A race towards the invasion of the most vulnerable continents.,Man,Man
290, Replacing humans.,Man,Man
291, Technological development,Woman,Woman
292, It is not regulated enough and we do not know what damages may appear in the long term.,Man,Man
294," AI can cause job losses. The use of AI by students can prevent them from developing their skills,  relying only on machines.",Man,Man
296, Loss of control over data and infiltration by malicious hackers,Woman,Woman
298, replace the human,Man,Man
304, Possibly job loss,Man,Man
307,Don't know,Woman,Woman
309, The dehumanization of the world and beings.,Woman,Woman
310," Mistakes,  relying too much on a service that doesn't weigh the pros and cons",Woman,Woman
313,Don't know,Woman,Woman
318, Violation of personal privacy,Man,Man
320, Pressure on humans loss of creativity and autonomy  social acceptance.,Man,Man
321, Replacement,Woman,Woman
323,No idea,Woman,Woman
324," Not having sufficiently anticipated the possibilities of actions,  beyond the control of this intelligence, and thus losing control.",Woman,Woman
325,Risk of losing many jobs,Man,Man
327, I don't know,Man,Man
328, Lack of contact,Man,Man
329, take our place,Man,Man
330, Proposing things that may not necessarily be good for society,Man,Man
331, Skynet,Man,Man
332, The invasion taking over,Man,Man
333, Dehumanization,Woman,Woman
336, Losing control,Man,Man
337, Take the place of humans (work),Woman,Woman
342, Autonomous control,Man,Man
346, Loss of control,Woman,Woman
347," User dependence,  humans become lazy and lack of respect for privacy",Man,Man
348, Controlling the people,Man,Man
351," With the labor shortage,  I see no risk.",Woman,Woman
353, That we lose control and to whose hands......dangerous,Man,Man
354," Job loss,  sale of data",Woman,Woman
355, I don't know,Woman,Woman
356, None,Man,Man
357,Don't know,Man,Man
358, Causing job losses,Woman,Woman
359,no idea,Man,Man
362, Errors,Woman,Woman
363, Control,Woman,Woman
364," I think automation and AI pose major risks such as job loss, concentration of power,  and ethical issues.",Man,Man
365, Job loss and mistakes,Woman,Woman
367, More unemployment,Man,Man
368, People's privacy,Man,Man
371,Don't know,Man,Man
372, Job loss or job transfer,Man,Man
373," The greatest risk of automation is the loss of expertise in know-how and the loss of jobs. For AI,  it's more of an ethical question about how far are we willing to go before AI surpasses us.",Man,Man
374, No idea,Man,Man
375, Impoverishment,Man,Man
376, Job loss,Man,Man
378, Job loss,Man,Man
379, That artificial intelligence takes precedence over human thought,Man,Man
380,Need for fewer human resources,Man,Man
381, losing control,Woman,Woman
383, no idea,Man,Man
384, Lose human contact,Woman,Woman
385, Loss of contact with humans,Woman,Woman
390, When decisions made by AI are not good for us.,Woman,Woman
392, Letting it be known,Man,Man
393, Cowardice,Woman,Woman
394, Nothing,Man,Man
395, Serving fraudsters,Man,Man
396, One must be very cautious and proceed in stages.,Man,Man
398, Job loss,Man,Man
399,that it becomes more intelligent,Woman,Woman
400, Taking over the human,Man,Man
405,that it takes up too much space.,Woman,Woman
408, Nothing,Woman,Woman
409, Replacing humans in important decision-making for security and health,Man,Man
410," Job loss,  loss of service quality,  customer data compilation,  profits no longer trickle down",Man,Man
412, no idea,Woman,Woman
414, I don't think there are risks,Man,Man
416, People will become lazy,Woman,Woman
417,Don't know,Woman,Woman
418," THAT PEOPLE THINK THEY'RE TALKING TO A GOVERNMENT OFFICIAL, BUT INSTEAD, WITHOUT KNOWING, THEY'RE TALKING TO PIRATES WHO ARE USING AI.",Woman,Woman
420, Takes the place of humans,Woman,Woman
421, Loss of humanity,Woman,Woman
422, Standardization,Woman,Woman
423, Loss of jobs,Man,Man
424, I don�t know,Woman,Woman
425, Society becomes dependent on automation for our economic well-being. Our privacy is invaded by social networks,Woman,Woman
428,Job loss,Man,Man
434, Humans will become increasingly stupid,Woman,Woman
439, I don't know,Woman,Woman
443, Human desensitization,Man,Man
444," Lack of human touch, everything will be the same,",Man,Man
445,The incorrect usage,Woman,Woman
446, Take control of the world,Woman,Woman
448, I don't know,Woman,Woman
450, I don't use it so I don't know,Woman,Woman
451,Lose of jobs by human beings,Man,Man
453,I think that will be used for personal gain and not for the good of the world,Man,Man
454,No comment,Man,Man
462,the fact to have a virus,Man,Man
463,"fully understand the question being put top AI, so you don't have to repeat yourself multiple times",Man,Man
467, no idea,Woman,Woman
468, Less service,Woman,Woman
472," Replacing, stealing identities",Woman,Woman
473, Creating cyber-dependence,Woman,Woman
474,"�,,,�",Woman,Woman
476,No risks,Man,Man
477, Job loss,Woman,Woman
478, Job loss,Man,Man
479, Employment,Man,Man
480, Decrease in humanism,Woman,Woman
481, When there is a major virus,Man,Man
482, Loss of jobs,Man,Man
485,Job loss,Woman,Woman
486, Loss of control and job loss,Man,Man
487, Don't know,Man,Man
489,Don't know,Man,Man
490, Turning human beings into dependents and biasing the sense of truth and falsehood,Woman,Woman
495, Gradually taking over human roles,Man,Man
497,That it will take jobs from the working class,Man,Man
498, Loss of human jobs.,Man,Man
500," Risks of hacking; problems with our personal data; among young people,  hindering their capacity for learning and questioning; difficulties in recognizing truth from falsehood,  inability to control what is done with AI,  etc.",Man,Man
503, Dumbing down the population and widening the gap between the rich and the poor.,Man,Man
506, Seeing reality.... which may be false,Woman,Woman
508, Data insecurity and unemployment,Woman,Woman
509,none,Man,Man
511, Lose our consciousness,Woman,Woman
513,Loss of jobs,Man,Man
515, Identity theft,Man,Man
516,it will take jobs,Woman,Woman
517,No idea,Man,Man
518,Don't know,Woman,Woman
519, The end of the human species.,Man,Man
523, No idea,Man,Man
525, More nonsense and ways to lead people by the nose,Man,Man
527,Knows too much information,Woman,Woman
528,Totally leading man astray from the path his CREATOR has laid out for him.,Man,Man
531, Lack of humanity,Woman,Woman
532,Not found,Man,Man
533, Manipulating humans and cyberattacks,Woman,Woman
534,"Loosing jobs, even for one person is hurting.",Woman,Woman
538, Losing jobs,Woman,Woman
539,I dont knoe,Woman,Woman
540, Inability to respond,Woman,Woman
541, Losing one's identity,Woman,Woman
542,Too much dependence can lead to laziness and poor health of the population.,Man,Man
543,mistke,Man,Man
548,?,Woman,Woman
550,Not sure,Woman,Woman
551,They might create a danger to humans,Man,Man
555, I don't know,Woman,Woman
557, Giving too much information to artificial intelligence,Man,Man
559, Loss,Man,Man
560,No idea,Woman,Woman
561, I think there are certain domains that specifically belong to humans.,Woman,Woman
562,People depending on biases introduced by other people into the algorithm,Man,Man
563,Being used to promote falsehood,Woman,Woman
564,None,Woman,Woman
570, The control of this AI that can overflow.,Man,Man
572,Don't know,Woman,Woman
575,Do not know enough about it.,Man,Man
576, Misunderstood and misused,Woman,Woman
578, Job loss,Woman,Woman
581,Many will lose their jobs and unemployment rate will increase.,Man,Man
583, Replacing humans in all sectors which will result in job losses,Woman,Woman
585, Cutting corners. Offering the correct,Woman,Woman
588,No risks,Woman,Woman
589, That humans use it unethically,Woman,Woman
590,That ai becomes better than humans,Man,Man
592,The potential for misuse i.e. military weapons.,Woman,Woman
593, None,Man,Man
595, Fraud,Woman,Woman
596, That AI becomes aware of our weaknesses as humans and decides to bypass human interaction in decision-making.,Man,Man
597, I don't think there are risks,Woman,Woman
599," Replacement of humans for certain tasks,  loss of human control over what the program will decide",Man,Man
601, Removing humans,Man,Man
604, The person who designed it,Man,Man
606, None,Woman,Woman
609,loss of human interaction,Woman,Woman
610, Lack of jobs,Woman,Woman
611,Human become less smart,Man,Man
613,"The loss of counciousness. Where human being begin to forget they are human, and slowly start thinking like ""robots"". This is how humanity will fall apart and eventually become extinct... Or... If we are lucky we get to begin a new...",Man,Man
615,Misinformation and loss of jobs,Man,Man
616, Causing job losses.,Woman,Woman
617, Job losses,Man,Man
618,"I feel like it will do everything, right and not sure what it will be",Woman,Woman
621, Identity theft,Man,Man
625,Who will regulate it who will be the watchdog for it so it doesn't create more problems then we need,Man,Man
626,People loosing their jobs,Woman,Woman
628," Disinformation,  proliferation,  displacement, and replacement",Woman,Woman
630,"I think we sometimes have skewed values as a society and rather than being clear about which “lower class” jobs actually benefit from having actual humans working them, we tend to devalue them and replace them. Self-serve checkout at the grocery stores for example - great in general, but a disadvantage for those with disabilities, seniors who struggle or even kids who may be picking up something their parents asked them to. The service industry actually benefits from having humans in those roles and frankly, society has people treating them so poorly when they’re actually so essential.",Woman,Woman
634,Replacing ppl bu computers and minimizing the human contact/experience,Man,Man
635,People loose jobs,Woman,Woman
636,Intrusion Lack of privacy,Woman,Woman
637,Jobs being unnecessarily lossed,Woman,Woman
638,Deep fake,Woman,Woman
639,danger to human race,Man,Man
642, It replaces humans and makes us lose our jobs more and more. It requires very specialized labor and not everyone knows that,Man,Man
645, Reduction in social contacts,Woman,Woman
646, Taking up too much space,Woman,Woman
647,job losses and many errors about the person,Man,Man
650, Problem of security and confidentiality,Woman,Woman
651,"Loss of jobs, breaking down, leaking data",Woman,Woman
652, Making compromises on service quality,Woman,Woman
654, Changes to humanity,Woman,Woman
655,"False information, hacking, job loss.",Man,Man
660, False or inaccurate data,Man,Man
662, that humans become less creative,Man,Man
663, Dangerous,Woman,Woman
664, Taking the place of humans,Woman,Woman
666," As with everything, there will be exaggeration and abuse.",Woman,Woman
669," Misuse. War,  for example.",Woman,Woman
671, Less work and making us dependent,Man,Man
672," desensitization,  nonexistent feelings,  copying an image of a person",Woman,Woman
675," I'm not sure either,  I don't know much about it,  I have very little data",Woman,Woman
677, Manipulating people's choices and lives,Woman,Woman
680, Fraud,Woman,Woman
681, That artificial intelligence takes the place of humans in all categories,Woman,Woman
682," Decisions without empathy,  loss of humanity,  promotion of false ideas",Man,Man
686, Using it to harm users (malicious; identity theft),Man,Man
687," Job loss,  hacking",Woman,Woman
689, Copying personal information and using it in the wrong way,Woman,Woman
690," In decision-making,  regarding people's freedoms",Woman,Woman
691, no idea,Woman,Woman
692, Replacing human beings,Woman,Woman
693,"
The repetitive work, the workers who are currently doing it will lose their jobs.",Woman,Woman
694, Making the population lazy and dumber because everything is done at the touch of a button and without having to think,Man,Man
695, Frauds,Woman,Woman
696,Not sure,Woman,Woman
697, That it takes control,Woman,Woman
698,Data leakage,Woman,Woman
701, Laziness,Woman,Woman
702, Relying solely on it in the exercise of retail sales. Sometimes there can be errors in data collection.,Man,Man
709," Job loss,  exorbitant costs for IT installations",Woman,Woman
716, Risk of job losses,Woman,Woman
717, Control,Man,Man
719, It means the computer controls everything by itself without having the emotional intelligence of the human being who cares about the impacts (but not always),Man,Man
720, Sedentarization,Man,Man
721,Don't know,Woman,Woman
722, Dehumanization of services,Woman,Woman
724, Hacking through a fake image or voice by AI.,Woman,Woman
725, That it takes the place of humans in the future in all areas,Woman,Woman
728, Fraud and scam,Man,Man
729, Replacing humans with robots,Woman,Woman
732, Job losses,Woman,Woman
733,Don't know,Woman,Woman
734, Losing our identity,Woman,Woman
736, Job loss and takeover,Woman,Woman
738, Perhaps used for malicious purposes,Woman,Woman
739, Nothing,Woman,Woman
740, It's dangerous to be led by robots,Man,Man
742, Relying on computers,Man,Man
743,job loss and the possibility of making bad decisions,Man,Man
748, Errors in the analysis of received data that could have serious consequences for humanity,Man,Man
749, I don't know enough about the subject to comment,Woman,Woman
751, Taking the place of humans,Woman,Woman
755,Don't know,Man,Man
757," Too much personal data,  invasion of privacy",Woman,Woman
760, Job loss,Woman,Woman
761, Job losses and the danger of losing control of automation,Man,Man
762, Job losses,Man,Man
766, ?,Woman,Woman
767, Loss of control,Woman,Woman
774, Data theft,Man,Man
775, Depersonalizing the population,Man,Man
777, I don't know,Man,Man
778, Make decisions,Man,Man
779, job loss,Woman,Woman
781, Self-service checkout,Woman,Woman
783,Perte d'emploi,Woman,Woman
784, Could take our place and make bad decisions for us,Man,Man
785,No personal contact,Man,Man
787," Bidding war, disappearance of human relationships",Man,Man
789, Dependence on authorities and all the responsibility that falls on them (possibility of absolving responsibility),Woman,Woman
790, Personal data and identity theft in great danger,Woman,Woman
791, Taking jobs away from humans,Woman,Woman
792,"People relying too much on AI, not using judgment for solving problems.",Woman,Woman
793, Job loss,Man,Man
795, More work for us,Man,Man
797, No longer being ourselves,Man,Man
798, Unethical use,Man,Man
801,No idea,Woman,Woman
802, Fraud,Woman,Woman
805,the misuse of AI by human,Woman,Woman
807,Everyone loses their jobs.,Woman,Woman
808," Dehumanization,  when we remove feelings it becomes rigid / not nuanced",Woman,Woman
810, Dehumanization,Woman,Woman
811,humans will no longer serve any purpose,Man,Man
813, A,Woman,Woman
816, Overconsumption,Woman,Woman
817, Hacking,Woman,Woman
824, Lack of human contact,Man,Man
825, Taking possession of technologies and no longer having control,Woman,Woman
830, Confidentiality,Woman,Woman
832,Don't know,Woman,Woman
836," Elimination of jobs for humans, which causes great economic loss for humans.",Woman,Woman
838," That it is to the detriment of man,  e.g., work and job loss",Woman,Woman
839, Job losses,Man,Man
843, No idea,Man,Man
844, Job loss,Man,Man
846, Losing our jobs,Man,Man
848, Job loss,Woman,Woman
849, Possibly job loss in certain sectors.,Woman,Woman
850, I have no idea,Man,Man
852, play the game,Man,Man
853, Job losses,Man,Man
854, Taking jobs,Man,Man
862, Risk of fraud,Woman,Woman
864,no opinion,Woman,Woman
866, That some lose their jobs and others isolate themselves,Woman,Woman
869, Dominates the world,Man,Man
870," Dehumanization,  laziness",Man,Man
872, Loss of common sense,Woman,Woman
873," Bad decision-making that did not take into account specifics like emotions,  impressions,  other more subjective factors,  beliefs,  etc.",Man,Man
874, Fraud,Man,Man
877, That it becomes more intelligent than humans,Woman,Woman
878,Don't know,Woman,Woman
879,No idea,Woman,Woman
881," That it causes job losses. That it undermines our identity,  our personal information...",Woman,Woman
883, Job losses and human thinking could be biased,Woman,Woman
884, Job loss,Woman,Woman
888, Replace humans,Man,Man
891, Cheating and misuse,Woman,Woman
892, Humans will lose their place at work,Woman,Woman
894,Identification theft,Woman,Woman
899, Job loss,Woman,Woman
900," Less privacy,  user dependence, makes people lazy",Woman,Woman
903, Not sure,Woman,Woman
904," That results are automatically validated without prior checks,  which could harm patients",Woman,Woman
905, Abuse,Woman,Woman
907, Job loss,Man,Man
914, I don't know,Man,Man
915,Control,Man,Man
916," Fake news, disinformation, making the population polarized in two thought poles by echo chambers,  the progressive loss of human contact,  more anxiety,  less politeness,  more violence,  and more",Man,Man
917, Being like robots,Woman,Woman
918,Humans losing their jobs,Woman,Woman
922, I don't know,Woman,Woman
925," Job loss,  loss of control",Man,Man
926, Replacing us,Woman,Woman
929,Don't know,Woman,Woman
935, No idea,Woman,Woman
936, It's something to watch out for,Man,Man
938, Reducing jobs,Woman,Woman
940, Boom,Man,Man
945," Failure,  scams",Man,Man
946, Destroying the human race slowly.,Man,Man
949,"the use of deep fakes in various fields, such as politics and news",Man,Man
950,I don't know.,Man,Man
954, The abuse that certain people can make of it without knowing all the consequences,Woman,Woman
955, Job loss,Woman,Woman
958, No idea,Woman,Woman
960,Al getting more smarter and taking over humans,Woman,Woman
963, I'm not sure for now,Man,Man
965, I don't know,Man,Man
966, Making decisions for us,Man,Man
970, Job loss,Woman,Woman
971,It will make a lot of people to loose their job,Woman,Woman
972,It will make most people to loose their job,Woman,Woman
976,losing the human touch is the biggest risk,Woman,Woman
978,"Loss of jobs, lack of security, loss of humanity where we will lose our imagination, our thinking",Woman,Woman
979,that it brings about intellectual insecurity,Woman,Woman
980, Job loss,Man,Man
983,not sure,Woman,Woman
988,N/A,Woman,Woman
989,Help In understanding,Woman,Woman
991,Not sure,Woman,Woman
992,Reduction in workforce,Woman,Woman
993,Safety,Man,Man
994,Do not know,Woman,Woman
995,not sure,Woman,Woman
997,"That evil governments like China and Russia and North Korea will use this technology against us either in actual war, or to greatly harm our economy and prosperity.",Man,Man
999,There will need for human interactions. AI will know how to build itself.,Woman,Woman
1002,Could replace our jobs with robots,Woman,Woman
1003,The biggest risk is robots take over our lives and we can't stop them.,Woman,Woman
1008,The biggest risk is leaving a significant portion of the population without employment.,Man,Man
1012,Risk of AI is that it might get smarter than humans.,Woman,Woman
1014,People becoming unemployed,Man,Man
1015,loss of personal choice,Woman,Woman
1017,,Woman,Woman
1020,Don’t know,Woman,Woman
1021,Loss of jobs and decline of a society who cannot think for themselves.,Woman,Woman
1022,Take over humans,Woman,Woman
1023,Data hacking,Man,Man
1026,"Automation of certain jobs, AI written articles and false information, fake images influencing opinion and social media manipulation",Man,Man
1027,It might go corrupt,Woman,Woman
1029," Make certain people say things invented by AI-generated images. Damage the reputation of certain individuals. Also in science, creating robots that could become dangerous. I don't know much about AI",Woman,Woman
1030,loss of control for humanity,Woman,Woman
1034,Loss of jobs and individualism.,Man,Man
1035,bombs and war and greed and jealousy,Man,Man
1038,Not much,Man,Man
1040,We should look at the brighter side. AI can assist humans and speed up our thinking. Humans can relearn and retrain to higher levels.,Man,Man
1042,people will rely on it without fact checking,Man,Man
1043,I don't know enough about automation,Woman,Woman
1046,That we have fooled ourselves into believing that natural language processing is actually intelligent and we will trust it to make decisions better than us when actually it is dumb and all it does is codify every shitty bias we have ever had.,Woman,Woman
1047,It growing out of humans' control and making costly errors,Man,Man
1048,"Loss of nuance in decision-making, differing priorities",Man,Man
1050,Some people will lose their jobs,Man,Man
1051,Every day people losing jobs,Man,Man
1052,i don’t know,Woman,Woman
1053,Taking over the world,Man,Man
1056,Basically the plot of the terminator.,Woman,Woman
1059,Don't know,Woman,Woman
1061,#NAME?,Woman,Woman
1064,Not needing human interface,Woman,Woman
1065,Malfunction,Woman,Woman
1067,Unknown,Woman,Woman
1070,Human programmers,Man,Man
1073,Taking jobs from humans and relying on it too much,Man,Man
1074,"Job losses, misinformation, fraud",Man,Man
1075,"I think the biggest risks of automation and artificial intelligence is that there's a potential danger if AI is not properly regulated in terms of it being used by the wrong hands, and also that it could end up taking away people's jobs.",Woman,Woman
1078,Not sure,Woman,Woman
1079,jobs taken,Man,Man
1080,Taking jobs away from real people,Man,Man
1081,"They are a form of ""bread and circuses"" used by post-modern industrialists to extend their political influence and distract people from issues that really matter, such as climate change and environmental destruction.",Man,Man
1082,Not have control of it at some point,Woman,Woman
1084,Risk,Woman,Woman
1089,Too many mistakes,Woman,Woman
1091,"In the wrong hands, it is scary to think what AI in particular can do - more fake news and the like. Loss of jobs where automation is concerned.",Woman,Woman
1092,Job losses,Man,Man
1093,Not sure,Man,Man
1094,Removal of safety barriers. Removal of personal contact. Limited ability to form contingency plans.,Man,Man
1096,Human replacement,Man,Man
1097,"In our current society where people need income, taking basic and or lower wage jobs (customer service, etc.)",Woman,Woman
1099,Replaces people. Causes unemployment. Poor economic growth,Man,Man
1103,Job loss. Fake stories and misleading information,Woman,Woman
1104, Job losses,Woman,Woman
1105,Less jobs for humans,Man,Man
1107,Things such as deepfakes where AI creates something that looks believable but is not.,Man,Man
1108,Replacing humans,Man,Man
1109,Removal of human jobs,Man,Man
1111,When AI mimics human interaction so successfully that humans don’t recognize the difference. That could be potentially hazardous.,Man,Man
1113,Lost jobs,Woman,Woman
1114,They learn too much,Woman,Woman
1115,Not giving enough information or taking too many jobs away from people,Man,Man
1116,Taking away need for humans,Woman,Woman
1118,N/a,Man,Man
1119,People lose some of their business skills and weaken mentally.,Man,Man
1122,"taking jobs, making people lazier",Woman,Woman
1123,Displacing jobs,Man,Man
1125,scams,Man,Man
1128,No sure,Man,Man
1131,Taking away creative jobs from people,Man,Man
1132,Loss of employment in many sectors,Man,Man
1135,I think the biggest risk would be everyone privacy.,Woman,Woman
1137,Privacy,Woman,Woman
1141,That we allow advancements in automation and AI to progress so fast that we loose the ability to control the possible outcomes that may result in their use.,Man,Man
1143,People lose their jobs,Woman,Woman
1147,Loss of jobs,Woman,Woman
1148,That they can take over the world,Man,Man
1149,Know,Man,Man
1153,I think eventually taking over and humans are no longer needed for basic jobs.,Woman,Woman
1154,automation and AI take away jobs,Man,Man
1155,Taking peoples jobs altogether,Woman,Woman
1156,Replacing creative industries such as art and design,Woman,Woman
1157,The computer becoming self regulating,Man,Man
1161,Relying on AI at the expense of human interactions,Woman,Woman
1163,"Job losses, loss of knowledge of basic tasks for younger folks, creating distance between people",Woman,Woman
1168,I'm scared that people won't even know they are speaking to AI. There are so many fraud scams already. It's possible a lot of people will become victims.,Woman,Woman
1170,AI taking over.,Woman,Woman
1173,System failure,Woman,Woman
1175,"Humans becoming reliant on such, therefore easier to manipulate",Man,Man
1176,"Job loss along with people becoming reliant on AI, hence a dumbing down, generally speaking",Man,Man
1177,"That humans will slowly not be needed for as many jobs and that everything in life will start to feel fake and not real. No human connections, emotions, discussions etc.",Woman,Woman
1178,It will take over all jobs,Woman,Woman
1181,No idea,Woman,Woman
1183,Loss of jobs . Problems caused when there are glitches in the programs,Woman,Woman
1186,nothing,Woman,Woman
1187,None,Man,Man
1188,People will no longer have a choice in what happens in their lives.,Woman,Woman
1192,taking jobs away from humans and removing our desire to create,Woman,Woman
1195,Making assumptions and nit giving human intervention to validate,Woman,Woman
1196,Loss of jobs.,Man,Man
1199,Taking peoples jobs. Taking over the world,Man,Man
1203,Healthcare professionals will be replaced with computers resulting in lost jobs,Woman,Woman
1204,False information being relied on. Humans believing and depending upon AI for everything.,Woman,Woman
1206,Everything,Man,Man
1207,Lack of humanity,Man,Man
1208,I have no opinion.,Man,Man
1212,Cyber crime,Woman,Woman
1217,Taking jobs,Woman,Woman
1218,Over reliance on machines,Man,Man
1219,Unsure,Woman,Woman
1222,To attack us humans,Man,Man
1224,AI itself. It’s not real.,Woman,Woman
1228,Not sure,Woman,Woman
1229,Taking peoples jobs,Woman,Woman
1230,Some feel it may take over job. I feel it will augment,Woman,Woman
1232,job loss? mistakes?,Woman,Woman
1234,don't know,Woman,Woman
1235,Taking over human impact in the global world,Woman,Woman
1236,Replacing jobs,Woman,Woman
1239,used for wrong reasons,Man,Man
1240,Getting into the wrong hands. For fake propaganda with deepfakes.,Man,Man
1241,Lose of jobs,Man,Man
1242,None,Man,Man
1243,Take over,Woman,Woman
1248,Misinformation,Woman,Woman
1250,Inaccuracies and wrong data being sold as legitimate.,Woman,Woman
1251,Did nobody see the terminator movies?,Man,Man
1253,Not sure,Man,Man
1256,I'm not sure,Woman,Woman
1260,It isn't perfect,Woman,Woman
1261,Taking over the world,Woman,Woman
1262,the AI having too much control,Man,Man
1264,rebellion,Man,Man
