id,gender_bin,b_cls,r_cls,benefit_uncertainty,risk_uncertainty,unc_index
110,Man,substantive,,0.0,,
111,Woman,substantive,,0.0,,
112,Man,uncertain,,1.0,,
113,Woman,uncertain,substantive,1.0,0.0,0.5
114,Woman,uncertain,substantive,1.0,0.0,0.5
115,Woman,uncertain,substantive,1.0,0.0,0.5
116,Woman,uncertain,,1.0,,
117,Woman,substantive,substantive,0.0,0.0,0.0
118,Woman,substantive,,0.0,,
119,Woman,uncertain,,1.0,,
120,Woman,uncertain,substantive,1.0,0.0,0.5
121,Woman,uncertain,substantive,1.0,0.0,0.5
122,Man,too_short,,,,
123,Woman,too_short,,,,
124,Woman,uncertain,,1.0,,
125,Woman,uncertain,,1.0,,
126,Woman,too_short,substantive,,0.0,
127,Woman,too_short,,,,
128,Woman,substantive,substantive,0.0,0.0,0.0
129,Man,substantive,substantive,0.0,0.0,0.0
130,Man,substantive,,0.0,,
131,Man,substantive,substantive,0.0,0.0,0.0
132,Man,uncertain,,1.0,,
133,Woman,substantive,substantive,0.0,0.0,0.0
134,Woman,substantive,,0.0,,
135,Man,too_short,substantive,,0.0,
136,Man,substantive,substantive,0.0,0.0,0.0
137,Woman,too_short,,,,
138,Man,substantive,too_short,0.0,,
139,Man,substantive,,0.0,,
140,Woman,substantive,,0.0,,
141,Man,substantive,,0.0,,
142,Man,uncertain,,1.0,,
143,Woman,uncertain,,1.0,,
144,Woman,substantive,substantive,0.0,0.0,0.0
145,Woman,substantive,substantive,0.0,0.0,0.0
146,Woman,uncertain,too_short,1.0,,
147,Man,substantive,,0.0,,
148,Man,substantive,substantive,0.0,0.0,0.0
149,Woman,too_short,,,,
150,Woman,uncertain,substantive,1.0,0.0,0.5
151,Woman,substantive,substantive,0.0,0.0,0.0
152,Man,substantive,,0.0,,
153,Man,substantive,,0.0,,
154,Man,substantive,,0.0,,
155,Man,uncertain,,1.0,,
156,Man,uncertain,,1.0,,
157,Man,substantive,,0.0,,
158,Man,uncertain,,1.0,,
159,Woman,too_short,uncertain,,1.0,
160,Man,substantive,,0.0,,
161,Woman,uncertain,,1.0,,
162,Man,substantive,substantive,0.0,0.0,0.0
163,Woman,uncertain,substantive,1.0,0.0,0.5
164,Man,substantive,,0.0,,
165,Man,substantive,substantive,0.0,0.0,0.0
166,Woman,substantive,,0.0,,
167,Man,too_short,substantive,,0.0,
168,Woman,substantive,,0.0,,
169,Woman,uncertain,too_short,1.0,,
170,Man,missing,uncertain,,1.0,
171,Man,uncertain,,1.0,,
172,Woman,uncertain,,1.0,,
173,Man,uncertain,,1.0,,
174,Woman,uncertain,,1.0,,
175,Woman,substantive,substantive,0.0,0.0,0.0
176,Man,substantive,,0.0,,
177,Woman,uncertain,substantive,1.0,0.0,0.5
178,Man,substantive,substantive,0.0,0.0,0.0
179,Man,too_short,substantive,,0.0,
180,Man,uncertain,substantive,1.0,0.0,0.5
181,Man,substantive,substantive,0.0,0.0,0.0
182,Man,substantive,too_short,0.0,,
183,Man,substantive,missing,0.0,,
184,Man,missing,substantive,,0.0,
185,Man,substantive,,0.0,,
186,Man,substantive,,0.0,,
187,Man,substantive,substantive,0.0,0.0,0.0
188,Man,substantive,substantive,0.0,0.0,0.0
189,Woman,substantive,,0.0,,
190,Man,uncertain,,1.0,,
191,Woman,substantive,,0.0,,
192,Woman,too_short,substantive,,0.0,
193,Woman,uncertain,substantive,1.0,0.0,0.5
194,Man,too_short,substantive,,0.0,
195,Woman,substantive,too_short,0.0,,
196,Man,uncertain,substantive,1.0,0.0,0.5
197,Man,substantive,substantive,0.0,0.0,0.0
198,Man,substantive,substantive,0.0,0.0,0.0
199,Man,substantive,,0.0,,
200,Woman,substantive,,0.0,,
201,Man,uncertain,,1.0,,
202,Woman,substantive,substantive,0.0,0.0,0.0
203,Woman,uncertain,,1.0,,
204,Man,substantive,missing,0.0,,
205,Man,missing,,,,
206,Woman,uncertain,,1.0,,
207,Man,substantive,,0.0,,
208,Woman,substantive,,0.0,,
209,Woman,uncertain,substantive,1.0,0.0,0.5
210,Woman,substantive,substantive,0.0,0.0,0.0
211,Woman,substantive,,0.0,,
212,Woman,uncertain,,1.0,,
213,Woman,too_short,,,,
214,Man,substantive,substantive,0.0,0.0,0.0
215,Woman,uncertain,substantive,1.0,0.0,0.5
216,Woman,substantive,,0.0,,
217,Man,too_short,,,,
218,Woman,uncertain,substantive,1.0,0.0,0.5
219,Woman,substantive,,0.0,,
220,Man,substantive,,0.0,,
221,Man,too_short,substantive,,0.0,
222,Woman,substantive,too_short,0.0,,
223,Woman,substantive,substantive,0.0,0.0,0.0
224,Woman,uncertain,,1.0,,
225,Woman,uncertain,substantive,1.0,0.0,0.5
226,Man,substantive,,0.0,,
227,Man,substantive,substantive,0.0,0.0,0.0
228,Man,substantive,,0.0,,
229,Man,substantive,substantive,0.0,0.0,0.0
230,Man,substantive,substantive,0.0,0.0,0.0
231,Woman,uncertain,,1.0,,
232,Woman,too_short,substantive,,0.0,
233,Woman,substantive,substantive,0.0,0.0,0.0
234,Woman,substantive,,0.0,,
235,Woman,too_short,uncertain,,1.0,
236,Man,substantive,,0.0,,
237,Woman,missing,,,,
238,Man,substantive,substantive,0.0,0.0,0.0
239,Man,too_short,uncertain,,1.0,
240,Woman,substantive,,0.0,,
241,Man,substantive,,0.0,,
242,Man,substantive,,0.0,,
243,Woman,substantive,,0.0,,
244,Man,substantive,substantive,0.0,0.0,0.0
245,Man,substantive,,0.0,,
246,Man,uncertain,uncertain,1.0,1.0,1.0
247,Woman,substantive,,0.0,,
248,Man,uncertain,,1.0,,
249,Man,substantive,substantive,0.0,0.0,0.0
250,Man,substantive,,0.0,,
251,Man,substantive,,0.0,,
252,Man,substantive,,0.0,,
253,Woman,substantive,substantive,0.0,0.0,0.0
254,Woman,substantive,,0.0,,
255,Man,too_short,substantive,,0.0,
256,Woman,substantive,substantive,0.0,0.0,0.0
257,Man,substantive,uncertain,0.0,1.0,0.5
258,Man,missing,too_short,,,
259,Woman,substantive,uncertain,0.0,1.0,0.5
260,Man,uncertain,,1.0,,
261,Woman,uncertain,substantive,1.0,0.0,0.5
262,Man,too_short,,,,
263,Man,uncertain,,1.0,,
264,Man,substantive,,0.0,,
265,Woman,substantive,uncertain,0.0,1.0,0.5
266,Man,uncertain,,1.0,,
267,Woman,too_short,substantive,,0.0,
268,Man,too_short,,,,
269,Woman,substantive,substantive,0.0,0.0,0.0
270,Woman,substantive,substantive,0.0,0.0,0.0
271,Woman,uncertain,substantive,1.0,0.0,0.5
272,Woman,uncertain,,1.0,,
273,Woman,too_short,substantive,,0.0,
274,Woman,substantive,substantive,0.0,0.0,0.0
275,Man,substantive,uncertain,0.0,1.0,0.5
276,Man,too_short,,,,
277,Woman,substantive,,0.0,,
278,Woman,uncertain,,1.0,,
279,Man,substantive,,0.0,,
280,Woman,substantive,,0.0,,
281,Man,substantive,substantive,0.0,0.0,0.0
282,Man,too_short,,,,
283,Woman,uncertain,,1.0,,
284,Woman,substantive,,0.0,,
285,Man,substantive,substantive,0.0,0.0,0.0
286,Woman,substantive,,0.0,,
287,Woman,missing,substantive,,0.0,
288,Man,substantive,,0.0,,
289,Woman,uncertain,,1.0,,
290,Man,missing,substantive,,0.0,
291,Woman,substantive,substantive,0.0,0.0,0.0
292,Woman,substantive,substantive,0.0,0.0,0.0
293,Man,substantive,,0.0,,
294,Woman,uncertain,substantive,1.0,0.0,0.5
295,Woman,substantive,,0.0,,
296,Woman,uncertain,substantive,1.0,0.0,0.5
297,Woman,uncertain,,1.0,,
298,Man,substantive,substantive,0.0,0.0,0.0
299,Woman,substantive,,0.0,,
300,Man,substantive,,0.0,,
301,Woman,uncertain,,1.0,,
302,Man,substantive,,0.0,,
303,Woman,substantive,,0.0,,
304,Man,substantive,substantive,0.0,0.0,0.0
305,Man,substantive,,0.0,,
306,Man,too_short,,,,
307,Woman,missing,uncertain,,1.0,
308,Woman,substantive,,0.0,,
309,Woman,substantive,substantive,0.0,0.0,0.0
310,Man,substantive,substantive,0.0,0.0,0.0
311,Man,substantive,,0.0,,
312,Man,substantive,,0.0,,
313,Woman,substantive,uncertain,0.0,1.0,0.5
314,Man,substantive,,0.0,,
315,Woman,uncertain,,1.0,,
316,Man,substantive,,0.0,,
317,Man,substantive,,0.0,,
318,Woman,substantive,substantive,0.0,0.0,0.0
319,Woman,substantive,,0.0,,
320,Woman,substantive,substantive,0.0,0.0,0.0
321,Man,substantive,too_short,0.0,,
322,Woman,substantive,,0.0,,
323,Woman,substantive,uncertain,0.0,1.0,0.5
324,Woman,substantive,substantive,0.0,0.0,0.0
325,Woman,substantive,substantive,0.0,0.0,0.0
326,Man,substantive,,0.0,,
327,Man,substantive,uncertain,0.0,1.0,0.5
328,Woman,substantive,substantive,0.0,0.0,0.0
329,Woman,uncertain,substantive,1.0,0.0,0.5
330,Man,substantive,substantive,0.0,0.0,0.0
331,Woman,uncertain,too_short,1.0,,
332,Woman,substantive,substantive,0.0,0.0,0.0
333,Woman,substantive,too_short,0.0,,
334,Woman,substantive,,0.0,,
335,Man,substantive,,0.0,,
336,Man,substantive,substantive,0.0,0.0,0.0
337,Man,substantive,substantive,0.0,0.0,0.0
338,Woman,missing,,,,
339,Woman,substantive,,0.0,,
340,Woman,substantive,,0.0,,
341,Woman,uncertain,,1.0,,
342,Man,substantive,substantive,0.0,0.0,0.0
343,Woman,substantive,,0.0,,
344,Woman,uncertain,,1.0,,
345,Woman,uncertain,,1.0,,
346,Woman,substantive,substantive,0.0,0.0,0.0
347,Woman,missing,substantive,,0.0,
348,Man,substantive,substantive,0.0,0.0,0.0
349,Man,substantive,,0.0,,
350,Woman,substantive,,0.0,,
351,Woman,uncertain,uncertain,1.0,1.0,1.0
352,Woman,substantive,,0.0,,
353,Woman,uncertain,substantive,1.0,0.0,0.5
354,Woman,substantive,substantive,0.0,0.0,0.0
355,Woman,substantive,uncertain,0.0,1.0,0.5
356,Man,substantive,too_short,0.0,,
357,Woman,uncertain,uncertain,1.0,1.0,1.0
358,Woman,uncertain,substantive,1.0,0.0,0.5
359,Woman,substantive,uncertain,0.0,1.0,0.5
360,Woman,substantive,,0.0,,
361,Woman,uncertain,,1.0,,
362,Man,substantive,too_short,0.0,,
363,Woman,substantive,too_short,0.0,,
364,Woman,substantive,substantive,0.0,0.0,0.0
365,Man,uncertain,substantive,1.0,0.0,0.5
366,Man,substantive,,0.0,,
367,Man,uncertain,substantive,1.0,0.0,0.5
368,Woman,uncertain,substantive,1.0,0.0,0.5
369,Woman,uncertain,,1.0,,
370,Woman,substantive,,0.0,,
371,Woman,uncertain,uncertain,1.0,1.0,1.0
372,Man,substantive,substantive,0.0,0.0,0.0
373,Woman,substantive,substantive,0.0,0.0,0.0
374,Woman,substantive,uncertain,0.0,1.0,0.5
375,Woman,uncertain,too_short,1.0,,
376,Woman,substantive,substantive,0.0,0.0,0.0
377,Woman,substantive,,0.0,,
378,Woman,substantive,substantive,0.0,0.0,0.0
379,Woman,too_short,substantive,,0.0,
380,Man,substantive,substantive,0.0,0.0,0.0
381,Man,substantive,substantive,0.0,0.0,0.0
382,Man,substantive,,0.0,,
383,Man,missing,uncertain,,1.0,
384,Woman,uncertain,substantive,1.0,0.0,0.5
385,Woman,substantive,substantive,0.0,0.0,0.0
386,Man,uncertain,,1.0,,
387,Woman,substantive,,0.0,,
388,Woman,uncertain,,1.0,,
389,Man,substantive,,0.0,,
390,Man,substantive,substantive,0.0,0.0,0.0
391,Woman,uncertain,,1.0,,
392,Woman,uncertain,substantive,1.0,0.0,0.5
393,Man,substantive,too_short,0.0,,
394,Man,substantive,too_short,0.0,,
395,Man,uncertain,substantive,1.0,0.0,0.5
396,Man,substantive,substantive,0.0,0.0,0.0
397,Woman,substantive,,0.0,,
398,Woman,uncertain,substantive,1.0,0.0,0.5
399,Woman,uncertain,substantive,1.0,0.0,0.5
400,Man,too_short,substantive,,0.0,
401,Man,uncertain,,1.0,,
402,Man,substantive,,0.0,,
403,Woman,substantive,,0.0,,
404,Woman,uncertain,,1.0,,
405,Woman,uncertain,substantive,1.0,0.0,0.5
406,Woman,substantive,,0.0,,
407,Man,substantive,,0.0,,
408,Man,substantive,too_short,0.0,,
409,Man,uncertain,substantive,1.0,0.0,0.5
410,Man,too_short,substantive,,0.0,
411,Woman,uncertain,,1.0,,
412,Woman,substantive,uncertain,0.0,1.0,0.5
413,Woman,substantive,,0.0,,
414,Woman,substantive,uncertain,0.0,1.0,0.5
415,Woman,substantive,,0.0,,
416,Woman,substantive,substantive,0.0,0.0,0.0
417,Man,substantive,uncertain,0.0,1.0,0.5
418,Woman,too_short,substantive,,0.0,
419,Woman,substantive,,0.0,,
420,Woman,substantive,substantive,0.0,0.0,0.0
421,Man,substantive,substantive,0.0,0.0,0.0
422,Woman,substantive,too_short,0.0,,
423,Woman,too_short,substantive,,0.0,
424,Woman,uncertain,substantive,1.0,0.0,0.5
425,Woman,substantive,substantive,0.0,0.0,0.0
426,Woman,uncertain,,1.0,,
427,Man,substantive,,0.0,,
428,Man,uncertain,substantive,1.0,0.0,0.5
429,Man,uncertain,,1.0,,
430,Man,uncertain,,1.0,,
431,Woman,too_short,,,,
432,Woman,substantive,,0.0,,
433,Man,uncertain,,1.0,,
434,Man,too_short,substantive,,0.0,
435,Man,uncertain,,1.0,,
436,Man,uncertain,,1.0,,
437,Woman,substantive,,0.0,,
438,Woman,uncertain,,1.0,,
439,Woman,substantive,uncertain,0.0,1.0,0.5
440,Man,substantive,,0.0,,
441,Man,substantive,,0.0,,
442,Woman,substantive,,0.0,,
443,Man,substantive,substantive,0.0,0.0,0.0
444,Man,too_short,substantive,,0.0,
445,Woman,too_short,substantive,,0.0,
446,Woman,uncertain,substantive,1.0,0.0,0.5
447,Woman,uncertain,,1.0,,
448,Woman,substantive,uncertain,0.0,1.0,0.5
449,Woman,uncertain,,1.0,,
450,Woman,uncertain,uncertain,1.0,1.0,1.0
451,Man,substantive,substantive,0.0,0.0,0.0
452,Woman,substantive,,0.0,,
453,Woman,substantive,substantive,0.0,0.0,0.0
454,Woman,uncertain,substantive,1.0,0.0,0.5
455,Woman,too_short,,,,
456,Woman,uncertain,,1.0,,
457,Woman,uncertain,,1.0,,
458,Woman,uncertain,,1.0,,
459,Woman,substantive,,0.0,,
460,Man,substantive,,0.0,,
461,Man,substantive,,0.0,,
462,Man,too_short,substantive,,0.0,
463,Man,substantive,substantive,0.0,0.0,0.0
464,Woman,substantive,,0.0,,
465,Woman,substantive,,0.0,,
466,Woman,substantive,,0.0,,
467,Man,substantive,uncertain,0.0,1.0,0.5
468,Woman,missing,substantive,,0.0,
469,Woman,uncertain,,1.0,,
470,Woman,substantive,,0.0,,
471,Man,substantive,,0.0,,
472,Woman,substantive,substantive,0.0,0.0,0.0
473,Man,uncertain,substantive,1.0,0.0,0.5
474,Man,substantive,too_short,0.0,,
475,Man,substantive,,0.0,,
476,Man,substantive,uncertain,0.0,1.0,0.5
477,Man,uncertain,substantive,1.0,0.0,0.5
478,Woman,substantive,substantive,0.0,0.0,0.0
479,Woman,uncertain,too_short,1.0,,
480,Woman,uncertain,substantive,1.0,0.0,0.5
481,Woman,substantive,substantive,0.0,0.0,0.0
482,Man,uncertain,substantive,1.0,0.0,0.5
483,Man,substantive,,0.0,,
484,Man,uncertain,,1.0,,
485,Woman,substantive,substantive,0.0,0.0,0.0
486,Woman,substantive,substantive,0.0,0.0,0.0
487,Woman,substantive,uncertain,0.0,1.0,0.5
488,Woman,substantive,,0.0,,
489,Woman,substantive,uncertain,0.0,1.0,0.5
490,Woman,substantive,substantive,0.0,0.0,0.0
491,Man,substantive,,0.0,,
492,Woman,uncertain,,1.0,,
493,Woman,substantive,,0.0,,
494,Woman,substantive,,0.0,,
495,Woman,uncertain,substantive,1.0,0.0,0.5
496,Woman,substantive,,0.0,,
497,Man,substantive,substantive,0.0,0.0,0.0
498,Woman,substantive,substantive,0.0,0.0,0.0
499,Woman,substantive,,0.0,,
500,Man,substantive,substantive,0.0,0.0,0.0
501,Woman,substantive,,0.0,,
502,Woman,substantive,,0.0,,
503,Woman,substantive,substantive,0.0,0.0,0.0
504,Man,substantive,,0.0,,
505,Woman,uncertain,,1.0,,
506,Man,substantive,substantive,0.0,0.0,0.0
507,Woman,uncertain,,1.0,,
508,Woman,too_short,substantive,,0.0,
509,Woman,substantive,too_short,0.0,,
510,Woman,substantive,,0.0,,
511,Woman,uncertain,substantive,1.0,0.0,0.5
512,Man,substantive,,0.0,,
513,Man,substantive,substantive,0.0,0.0,0.0
514,Woman,substantive,,0.0,,
515,Woman,uncertain,substantive,1.0,0.0,0.5
516,Woman,substantive,substantive,0.0,0.0,0.0
517,Man,substantive,uncertain,0.0,1.0,0.5
518,Man,substantive,uncertain,0.0,1.0,0.5
519,Man,substantive,substantive,0.0,0.0,0.0
520,Man,substantive,,0.0,,
521,Man,uncertain,,1.0,,
522,Woman,uncertain,,1.0,,
523,Woman,substantive,uncertain,0.0,1.0,0.5
524,Man,substantive,,0.0,,
525,Man,substantive,substantive,0.0,0.0,0.0
526,Man,substantive,,0.0,,
527,Man,too_short,substantive,,0.0,
528,Woman,substantive,substantive,0.0,0.0,0.0
529,Man,substantive,,0.0,,
530,Woman,substantive,,0.0,,
531,Woman,uncertain,substantive,1.0,0.0,0.5
532,Woman,too_short,substantive,,0.0,
533,Woman,substantive,substantive,0.0,0.0,0.0
534,Woman,too_short,substantive,,0.0,
535,Woman,too_short,,,,
536,Man,too_short,,,,
537,Man,substantive,,0.0,,
538,Man,substantive,substantive,0.0,0.0,0.0
539,Woman,substantive,uncertain,0.0,1.0,0.5
540,Woman,substantive,substantive,0.0,0.0,0.0
541,Man,substantive,substantive,0.0,0.0,0.0
542,Man,uncertain,substantive,1.0,0.0,0.5
543,Man,substantive,too_short,0.0,,
544,Woman,substantive,,0.0,,
545,Woman,too_short,,,,
546,Woman,substantive,,0.0,,
547,Woman,substantive,,0.0,,
548,Man,substantive,too_short,0.0,,
549,Man,uncertain,,1.0,,
550,Man,substantive,uncertain,0.0,1.0,0.5
551,Man,uncertain,substantive,1.0,0.0,0.5
552,Woman,substantive,,0.0,,
553,Man,missing,,,,
554,Woman,substantive,,0.0,,
555,Woman,substantive,uncertain,0.0,1.0,0.5
556,Man,substantive,,0.0,,
557,Man,substantive,substantive,0.0,0.0,0.0
558,Man,substantive,,0.0,,
559,Man,too_short,too_short,,,
560,Man,substantive,uncertain,0.0,1.0,0.5
561,Woman,substantive,substantive,0.0,0.0,0.0
562,Woman,substantive,substantive,0.0,0.0,0.0
563,Man,substantive,substantive,0.0,0.0,0.0
564,Woman,substantive,missing,0.0,,
565,Man,too_short,,,,
566,Man,substantive,,0.0,,
567,Woman,substantive,,0.0,,
568,Man,substantive,,0.0,,
569,Man,substantive,,0.0,,
570,Man,substantive,substantive,0.0,0.0,0.0
571,Man,substantive,,0.0,,
572,Man,substantive,uncertain,0.0,1.0,0.5
573,Woman,uncertain,,1.0,,
574,Woman,missing,,,,
575,Man,substantive,substantive,0.0,0.0,0.0
576,Woman,substantive,substantive,0.0,0.0,0.0
577,Woman,substantive,,0.0,,
578,Man,substantive,substantive,0.0,0.0,0.0
579,Man,too_short,,,,
580,Woman,uncertain,,1.0,,
581,Man,substantive,substantive,0.0,0.0,0.0
582,Woman,substantive,,0.0,,
583,Woman,substantive,substantive,0.0,0.0,0.0
584,Man,uncertain,,1.0,,
585,Woman,substantive,substantive,0.0,0.0,0.0
586,Woman,substantive,,0.0,,
587,Woman,uncertain,,1.0,,
588,Woman,missing,uncertain,,1.0,
589,Woman,uncertain,substantive,1.0,0.0,0.5
590,Man,substantive,substantive,0.0,0.0,0.0
591,Man,substantive,,0.0,,
592,Woman,substantive,substantive,0.0,0.0,0.0
593,Woman,substantive,too_short,0.0,,
594,Woman,uncertain,,1.0,,
595,Woman,substantive,too_short,0.0,,
596,Woman,too_short,substantive,,0.0,
597,Man,missing,uncertain,,1.0,
598,Woman,substantive,,0.0,,
599,Woman,substantive,substantive,0.0,0.0,0.0
600,Woman,substantive,,0.0,,
601,Man,substantive,substantive,0.0,0.0,0.0
602,Man,substantive,,0.0,,
603,Woman,substantive,,0.0,,
604,Woman,substantive,substantive,0.0,0.0,0.0
605,Man,too_short,,,,
606,Man,uncertain,too_short,1.0,,
607,Man,uncertain,,1.0,,
608,Woman,substantive,,0.0,,
609,Woman,substantive,substantive,0.0,0.0,0.0
610,Man,substantive,substantive,0.0,0.0,0.0
611,Woman,too_short,substantive,,0.0,
612,Man,substantive,,0.0,,
613,Woman,uncertain,substantive,1.0,0.0,0.5
614,Woman,uncertain,,1.0,,
615,Woman,too_short,substantive,,0.0,
616,Woman,substantive,substantive,0.0,0.0,0.0
617,Woman,uncertain,substantive,1.0,0.0,0.5
618,Woman,uncertain,uncertain,1.0,1.0,1.0
619,Woman,substantive,,0.0,,
620,Woman,uncertain,,1.0,,
621,Man,substantive,substantive,0.0,0.0,0.0
622,Man,uncertain,,1.0,,
623,Man,substantive,,0.0,,
624,Man,uncertain,,1.0,,
625,Woman,too_short,substantive,,0.0,
626,Woman,substantive,substantive,0.0,0.0,0.0
627,Woman,substantive,,0.0,,
628,Man,substantive,substantive,0.0,0.0,0.0
629,Man,uncertain,,1.0,,
630,Woman,uncertain,substantive,1.0,0.0,0.5
631,Woman,substantive,,0.0,,
632,Woman,substantive,,0.0,,
633,Man,uncertain,,1.0,,
634,Man,substantive,substantive,0.0,0.0,0.0
635,Man,substantive,substantive,0.0,0.0,0.0
636,Man,substantive,substantive,0.0,0.0,0.0
637,Man,uncertain,substantive,1.0,0.0,0.5
638,Woman,missing,substantive,,0.0,
639,Man,too_short,substantive,,0.0,
640,Man,substantive,,0.0,,
641,Woman,substantive,,0.0,,
642,Man,too_short,substantive,,0.0,
643,Woman,too_short,,,,
644,Woman,substantive,,0.0,,
645,Woman,substantive,substantive,0.0,0.0,0.0
646,Woman,substantive,substantive,0.0,0.0,0.0
647,Woman,substantive,substantive,0.0,0.0,0.0
648,Woman,substantive,,0.0,,
649,Man,substantive,,0.0,,
650,Woman,substantive,substantive,0.0,0.0,0.0
651,Woman,substantive,substantive,0.0,0.0,0.0
652,Man,substantive,substantive,0.0,0.0,0.0
653,Woman,too_short,,,,
654,Woman,uncertain,substantive,1.0,0.0,0.5
655,Man,substantive,substantive,0.0,0.0,0.0
656,Man,substantive,,0.0,,
657,Woman,substantive,,0.0,,
658,Man,substantive,,0.0,,
659,Woman,substantive,,0.0,,
660,Man,substantive,substantive,0.0,0.0,0.0
661,Woman,uncertain,,1.0,,
662,Man,substantive,substantive,0.0,0.0,0.0
663,Man,substantive,too_short,0.0,,
664,Man,substantive,substantive,0.0,0.0,0.0
665,Woman,substantive,,0.0,,
666,Woman,substantive,substantive,0.0,0.0,0.0
667,Woman,substantive,,0.0,,
668,Man,too_short,,,,
669,Woman,substantive,substantive,0.0,0.0,0.0
670,Woman,substantive,,0.0,,
671,Woman,substantive,substantive,0.0,0.0,0.0
672,Woman,substantive,substantive,0.0,0.0,0.0
673,Woman,substantive,,0.0,,
674,Man,substantive,,0.0,,
675,Woman,too_short,uncertain,,1.0,
676,Man,substantive,,0.0,,
677,Woman,too_short,substantive,,0.0,
678,Woman,substantive,,0.0,,
679,Woman,substantive,,0.0,,
680,Woman,substantive,too_short,0.0,,
681,Woman,substantive,substantive,0.0,0.0,0.0
682,Woman,substantive,substantive,0.0,0.0,0.0
