Number,risks_AI_avg,support_company,gender_bin,objective_threat,trait_risk,educ_short,percent_job_gain,age_group,education,country,manipulation_check2,weight
25,4,2,Women,0.433333333,certain,1,70%,30 to 44,University,Canada,Pass,0.81
26,3,4,Women,NA,risky,1,70%,65 or older,University,US,Pass,0.7741
27,0,5,Women,0.2,certain,0,50%,18 to 29,HS or less,US,Pass,0.7417
28,0,2,Women,0.466666667,certain,0,100%,45 to 64,HS or less,Canada,Fail,1.1297
29,4,4,Men,0.466666667,risky,0,100%,18 to 29,Some college,US,Fail,0.8321
30,0.5,3,Men,0.666666667,certain,0,50%,18 to 29,HS or less,US,Pass,3.3836
31,6,5,Women,0.5,certain,1,70%,65 or older,University,US,Pass,0.8635
32,10,NA,Women,0.4,certain,1,50%,65 or older,University,US,Pass,0.9685
33,5,NA,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.6109
34,2,4,Women,0.233333333,certain,1,70%,18 to 29,University,US,Fail,1.7252
35,9,4,Women,NA,certain,0,100%,65 or older,HS or less,US,Fail,0.1692
36,5,NA,Women,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.2199
37,4.5,4,Women,0.233333333,certain,1,100%,45 to 64,University,US,Fail,0.7322
38,5,4,Men,0.433333333,certain,1,70%,65 or older,University,US,Pass,0.8841
39,1,3,Women,1,risky,0,30%,45 to 64,HS or less,US,Fail,1.2346
40,5,4,Men,NA,certain,0,70%,65 or older,Some college,US,Pass,0.6218
41,8.5,2,Men,NA,certain,0,100%,45 to 64,Some college,US,Fail,0.8
42,6,3,Women,0.766666667,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.1631
43,10,NA,NA,0.266666667,certain,1,70%,18 to 29,University,Canada,Pass,1.0072
44,6,4,Women,NA,certain,1,30%,65 or older,University,US,Pass,0.6836
45,3.5,4,Women,NA,certain,1,30%,30 to 44,University,Canada,Pass,1.1266
46,6.5,4,Men,NA,certain,0,100%,65 or older,Some college,US,Fail,0.8643
47,5,NA,Men,NA,certain,0,50%,65 or older,HS or less,US,Pass,3.5568
48,5,NA,Women,NA,certain,1,100%,65 or older,University,US,Pass,0.7587
49,7,3,Women,0.533333333,certain,1,50%,18 to 29,University,Canada,Pass,0.6446
50,0,5,Men,0.666666667,certain,1,30%,45 to 64,University,US,Fail,0.8337
51,4,NA,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.6346
52,5,3,Women,NA,certain,0,100%,18 to 29,HS or less,Canada,Pass,2.0995
53,8,2,Women,0.8,certain,0,50%,65 or older,Some college,US,Fail,0.1551
54,3,4,Men,0.233333333,certain,0,50%,45 to 64,HS or less,Canada,Pass,1.2648
55,5.5,4,Women,NA,certain,1,70%,65 or older,University,US,Fail,0.6297
56,2.5,4,Men,0.5,certain,1,100%,65 or older,University,US,Pass,0.7583
57,10,1,Men,0.4,risky,1,30%,45 to 64,University,Canada,Pass,0.8232
58,5,4,Women,0.833333333,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.7323
59,6,4,Men,NA,certain,0,100%,30 to 44,Some college,Canada,Pass,1.0462
60,7,2,Men,NA,certain,1,70%,45 to 64,University,US,Pass,0.6087
61,5,4,Women,0.466666667,certain,0,100%,45 to 64,Some college,Canada,Fail,0.4078
62,0,3,Women,0,certain,0,50%,18 to 29,HS or less,Canada,Fail,2.0995
63,7,3,Women,0.366666667,certain,0,50%,18 to 29,HS or less,US,Fail,1.4715
64,6,2,Women,NA,certain,1,100%,45 to 64,University,Canada,Pass,1.1357
65,5,NA,Women,NA,certain,1,30%,45 to 64,Postgrad,Canada,Fail,1.8076
66,5,3,Men,0.6,risky,0,50%,30 to 44,HS or less,Canada,Pass,1.4854
67,5,3,Men,0.6,certain,0,50%,45 to 64,HS or less,US,Pass,3.8955
68,8,4,Men,0.733333333,certain,1,50%,45 to 64,University,Canada,Pass,1.2556
69,5.5,4,Women,NA,certain,0,70%,65 or older,Some college,Canada,Pass,0.6911
70,6,3,Women,0.433333333,certain,0,50%,30 to 44,Some college,Canada,Pass,1.6401
71,6.5,2,Women,0.533333333,risky,0,100%,45 to 64,Some college,US,Pass,1.0652
72,0,1,Women,0.6,risky,0,50%,45 to 64,Some college,Canada,Fail,0.381
73,0,4,Women,NA,risky,0,70%,45 to 64,HS or less,US,Pass,0.8715
74,7,4,Women,0.7,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.566
75,4.5,4,Men,0.966666667,certain,0,50%,30 to 44,HS or less,US,Fail,1.0634
76,4.5,2,Women,NA,certain,1,30%,45 to 64,University,Canada,Fail,0.7867
77,2,NA,Women,0.8,certain,1,70%,45 to 64,University,Canada,Pass,0.7086
78,1,1,Men,0.533333333,certain,0,30%,65 or older,Some college,Canada,Fail,0.6477
79,5,2,Women,0.6,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.6793
80,4.5,3,Men,NA,certain,0,70%,65 or older,HS or less,US,Fail,0.5141
81,5,3,Men,NA,certain,1,50%,65 or older,University,US,Pass,0.8841
82,5,3,Women,NA,risky,1,50%,65 or older,University,Canada,Pass,1.1839
83,2,2,Men,0.433333333,risky,1,30%,30 to 44,Postgrad,Canada,Pass,1.6108
84,3,4,Women,0.266666667,certain,0,50%,18 to 29,HS or less,Canada,Pass,0.9257
85,6.5,4,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.9094
86,3,3,NA,0.4,certain,1,50%,30 to 44,University,US,Pass,0.9969
87,4,3,Women,0.933333333,risky,0,50%,45 to 64,Some college,Canada,Pass,0.9325
88,6,3,Men,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.768
89,1,3,Women,0.4,certain,0,30%,45 to 64,Some college,Canada,Fail,0.447
90,8,NA,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.6423
91,9,3,Women,0.233333333,certain,1,30%,30 to 44,University,Canada,Pass,0.7224
92,6,2,Women,NA,certain,0,50%,30 to 44,Some college,Canada,Pass,0.3533
93,3,NA,Women,NA,certain,0,50%,45 to 64,Some college,US,Fail,0.1948
94,3,4,Men,NA,certain,1,50%,45 to 64,University,US,Pass,1.7786
95,8,3,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,1.7427
96,6.5,2,Men,NA,certain,0,30%,18 to 29,Some college,US,Fail,1.1936
97,4,4,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,1.1408
98,5,NA,Women,0.733333333,certain,0,30%,30 to 44,HS or less,Canada,Pass,1.1631
99,5,1,Women,0.433333333,certain,1,30%,18 to 29,University,US,Fail,1.0376
100,3,3,Men,NA,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.6982
101,7,3,Women,NA,certain,0,50%,65 or older,Some college,Canada,Fail,0.6911
102,5,2,Women,NA,certain,0,30%,65 or older,Some college,Canada,Fail,0.4969
103,3.5,4,Men,0.866666667,certain,0,70%,45 to 64,HS or less,US,Fail,0.6874
104,3,4,Men,0.4,certain,1,30%,30 to 44,University,Canada,Pass,1.2147
105,4,1,Men,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.6371
106,5,NA,Men,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.5984
107,6,2,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,0.8282
108,4.5,4,Men,0.4,certain,0,100%,30 to 44,Some college,Canada,Pass,0.5059
109,10,5,Women,NA,certain,0,50%,45 to 64,HS or less,US,Fail,1.0162
110,0,2,Women,NA,certain,0,100%,18 to 29,Some college,US,Fail,0.7692
111,5,NA,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.8715
112,5.5,4,Women,NA,certain,0,100%,18 to 29,Some college,US,Fail,0.7569
113,4,3,Women,NA,certain,0,100%,65 or older,Some college,Canada,Fail,0.6928
114,2,4,Women,0.433333333,certain,0,30%,30 to 44,Some college,US,Fail,0.7878
115,2.5,5,Men,0.3,certain,1,70%,45 to 64,Postgrad,US,Fail,4.401
116,5,NA,Women,0.466666667,certain,0,70%,30 to 44,HS or less,Canada,Fail,1.1631
117,5,2,Women,0.533333333,certain,0,50%,30 to 44,Some college,US,Pass,0.8937
118,3.5,NA,Men,0.566666667,certain,1,100%,30 to 44,University,US,Pass,4.5806
119,5.5,4,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.0788
120,9,2,Men,0.466666667,certain,1,100%,45 to 64,Postgrad,US,Fail,0.9488
121,6.5,2,Men,0.4,certain,1,100%,30 to 44,University,Canada,Pass,0.8242
122,4,3,Men,0.4,risky,0,100%,30 to 44,Some college,Canada,Fail,1.5196
123,3.5,NA,Women,0.433333333,certain,0,70%,30 to 44,Some college,US,Fail,0.686
124,5,3,Men,0.3,risky,0,30%,45 to 64,Some college,Canada,Pass,0.5774
125,6,2,Women,0.6,certain,1,100%,45 to 64,University,US,Fail,0.8016
126,5,3,Women,NA,certain,1,100%,18 to 29,University,Canada,Pass,1.6566
127,5,NA,Women,0.733333333,certain,0,70%,45 to 64,HS or less,US,Fail,0.6278
128,10,1,Women,NA,certain,1,70%,65 or older,University,US,Pass,0.8201
129,10,3,Men,0.3,certain,0,100%,45 to 64,HS or less,US,Pass,0.7691
130,5,2,Men,0.3,certain,1,30%,30 to 44,University,Canada,Pass,0.7142
131,5,2,Women,NA,certain,0,70%,30 to 44,HS or less,US,Fail,1.1314
132,5,2,Men,0.9,risky,0,50%,30 to 44,Some college,Canada,Pass,0.5059
133,5.5,3,Men,0.4,risky,0,70%,45 to 64,Some college,Canada,Fail,0.8286
134,6.5,3,Women,NA,certain,1,100%,18 to 29,University,US,Fail,0.7854
135,0,5,Men,0.533333333,certain,1,70%,18 to 29,Postgrad,US,Fail,0.5433
136,4.5,4,Women,0.266666667,risky,0,50%,18 to 29,HS or less,US,Fail,0.6544
137,5.5,3,Women,NA,certain,0,50%,30 to 44,HS or less,US,Pass,0.4778
138,2.5,4,Men,0.266666667,certain,1,30%,45 to 64,University,US,Pass,0.7527
139,2.5,3,Women,NA,certain,0,100%,18 to 29,HS or less,US,Pass,0.6368
140,0,3,Men,0.6,certain,0,30%,30 to 44,HS or less,US,Pass,1.3409
141,3,2,Women,0.466666667,certain,0,70%,18 to 29,HS or less,Canada,Pass,0.5251
142,0,2,Women,0.833333333,certain,0,30%,45 to 64,HS or less,US,Fail,0.7924
143,2.5,NA,Men,NA,certain,1,100%,65 or older,University,US,Pass,0.83
144,3,4,Men,NA,certain,1,100%,18 to 29,University,Canada,Pass,2.0574
145,4,1,Men,0.4,risky,0,30%,18 to 29,HS or less,US,Fail,0.9526
146,8.5,1,Women,NA,risky,0,30%,30 to 44,Some college,Canada,Fail,0.8192
147,3,2,Men,0.5,certain,0,70%,18 to 29,HS or less,US,Fail,1.0698
148,10,5,Women,0.8,risky,0,100%,45 to 64,Some college,US,Pass,1.027
149,5,4,Men,NA,certain,0,50%,65 or older,Some college,US,Pass,0.6982
150,3,4,Men,0.5,certain,1,100%,65 or older,Postgrad,US,Fail,0.478
151,4,4,Women,NA,certain,1,70%,65 or older,University,US,Pass,0.779
152,3,4,Men,0.533333333,certain,1,70%,18 to 29,Postgrad,US,Pass,0.8479
153,5,2,Men,NA,certain,0,30%,18 to 29,Some college,US,Pass,0.7327
154,3,3,Women,NA,risky,0,70%,65 or older,Some college,US,Fail,1.0911
155,5,3,Women,NA,risky,0,70%,45 to 64,Some college,US,Fail,0.5593
156,6,5,Men,0.366666667,risky,1,50%,45 to 64,Postgrad,US,Fail,0.9949
157,0,5,Men,0.033333333,certain,1,70%,18 to 29,University,US,Fail,0.473
158,4.5,NA,Men,0.366666667,certain,0,50%,45 to 64,HS or less,US,Fail,0.7417
159,1.5,4,Women,0.3,certain,1,70%,18 to 29,University,US,Pass,5.4433
160,7,3,Women,NA,certain,1,50%,45 to 64,University,US,Pass,0.4687
161,6,3,Men,0.3,certain,1,100%,30 to 44,Postgrad,Canada,Pass,0.7328
162,2,2,Men,NA,certain,0,30%,18 to 29,HS or less,Canada,Fail,2.516
163,2,2,Women,0.533333333,certain,1,100%,18 to 29,University,US,Fail,0.1853
164,10,2,Men,0.733333333,risky,1,50%,30 to 44,University,US,Fail,0.3737
165,2.5,3,Men,0.4,certain,0,70%,18 to 29,Some college,US,Fail,0.7551
166,3,3,Men,NA,certain,0,30%,30 to 44,Some college,Canada,Pass,0.8918
167,5.5,1,Women,0.366666667,certain,1,70%,30 to 44,Postgrad,Canada,Pass,1.7458
168,3.5,4,Women,NA,certain,0,70%,45 to 64,HS or less,US,Pass,0.5682
169,6,2,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,0.7149
170,5,3,Men,0.4,certain,1,50%,65 or older,University,US,Fail,0.4774
171,10,1,Women,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.5663
172,0,2,Women,NA,certain,1,100%,45 to 64,University,Canada,Pass,0.9078
173,3.5,NA,Women,NA,risky,0,50%,30 to 44,HS or less,Canada,Fail,1.1631
174,6,3,Women,0.6,risky,1,100%,18 to 29,Postgrad,US,Pass,0.8918
175,6,4,Men,NA,certain,0,70%,30 to 44,Some college,US,Pass,1.0585
176,3,4,Men,NA,certain,1,70%,65 or older,Postgrad,US,Fail,1.0299
177,5,3,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.6346
178,2,5,Women,NA,risky,1,100%,65 or older,Postgrad,Canada,Pass,1.0423
179,3,4,Men,NA,certain,0,100%,30 to 44,HS or less,Canada,Pass,1.3248
180,1,NA,Men,0.8,certain,0,100%,30 to 44,HS or less,US,Fail,1.5838
181,5,NA,Men,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,1.3801
182,0,4,Women,NA,risky,1,100%,30 to 44,Postgrad,Canada,Fail,1.5506
183,5,3,Women,NA,certain,1,100%,45 to 64,University,Canada,Pass,0.8516
184,3.5,3,Women,0.5,certain,0,30%,30 to 44,Some college,Canada,Pass,0.3961
185,5,2,Women,0.666666667,certain,0,70%,45 to 64,HS or less,US,Fail,0.1471
186,5,2,Women,0.833333333,certain,1,30%,45 to 64,University,Canada,Pass,1.286
187,10,1,Men,NA,certain,0,30%,45 to 64,HS or less,US,Fail,3.2304
188,2.5,NA,Men,0.9,certain,0,50%,30 to 44,HS or less,US,Pass,1.2327
189,5.5,2,NA,NA,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.433
190,10,5,Men,0.133333333,certain,0,30%,45 to 64,Some college,Canada,Pass,0.6474
191,2,4,Men,0.4,certain,1,50%,18 to 29,University,US,Pass,0.4195
192,5,4,Men,0.166666667,risky,1,100%,45 to 64,Postgrad,US,Pass,0.5897
193,1,5,Women,0.5,risky,1,30%,30 to 44,University,US,Fail,0.2057
194,10,4,Women,0.566666667,certain,0,50%,30 to 44,HS or less,Canada,Fail,1.1631
195,8.5,2,Men,NA,certain,0,50%,45 to 64,Some college,Canada,Fail,0.8223
196,2.5,4,Men,0.3,certain,1,100%,18 to 29,Postgrad,US,Pass,0.5697
197,7,4,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,0.6318
198,0,5,Women,0.233333333,certain,1,100%,45 to 64,Postgrad,Canada,Pass,0.3155
199,5,4,Men,NA,certain,0,70%,45 to 64,HS or less,US,Pass,0.849
200,8.5,4,Women,0.466666667,certain,0,100%,45 to 64,HS or less,US,Pass,0.7155
201,4,3,Women,NA,certain,1,70%,18 to 29,Postgrad,Canada,Fail,0.5715
202,4.5,4,Women,NA,certain,1,50%,18 to 29,University,Canada,Pass,1.8575
203,6.5,4,NA,0.3,risky,1,70%,45 to 64,University,US,Pass,0.6612
204,5,2,Women,NA,risky,0,30%,18 to 29,HS or less,Canada,Pass,0.8256
205,5,1,Women,0.5,certain,0,100%,45 to 64,Some college,Canada,Pass,0.6783
206,7,5,Men,NA,certain,1,100%,65 or older,University,US,Pass,0.8897
207,6,3,Women,NA,certain,0,50%,30 to 44,HS or less,Canada,Pass,1.1631
208,5.5,2,Women,NA,certain,0,30%,45 to 64,Some college,US,Pass,0.6318
209,1,5,Men,0.333333333,risky,0,70%,18 to 29,HS or less,US,Fail,2.4119
210,1,3,Men,0.366666667,risky,0,30%,30 to 44,Some college,Canada,Fail,0.7688
211,2,3,Women,0.5,risky,0,50%,45 to 64,Some college,Canada,Pass,0.381
212,4,NA,Women,NA,certain,0,70%,45 to 64,Some college,Canada,Pass,1.5931
213,1.5,5,Men,NA,certain,1,100%,65 or older,Postgrad,US,Pass,0.871
214,9,2,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.4733
215,0,3,Men,0.733333333,certain,0,50%,30 to 44,HS or less,US,Fail,1.9325
216,4,4,Men,0.466666667,certain,1,30%,65 or older,University,US,Fail,0.8757
217,3,3,Women,0.433333333,certain,0,70%,30 to 44,Some college,Canada,Pass,0.3961
218,5,NA,Men,0.833333333,risky,0,100%,45 to 64,Some college,US,Fail,0.7462
219,9,1,Women,0.466666667,certain,1,70%,65 or older,University,US,Pass,0.9633
220,7,4,Women,NA,certain,1,100%,65 or older,University,US,Pass,0.6297
221,2,4,Women,NA,risky,1,100%,65 or older,Postgrad,US,Fail,0.6199
222,5,3,Men,NA,certain,0,100%,65 or older,Some college,US,Pass,2.7082
223,6,2,NA,0.7,certain,0,100%,45 to 64,Some college,Canada,Pass,0.739
224,3,NA,Women,NA,certain,0,100%,45 to 64,Some college,Canada,Pass,0.5312
225,5,1,Women,NA,certain,0,70%,65 or older,Some college,US,Fail,0.3485
226,5.5,3,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.6793
227,5,3,Women,0.3,certain,1,50%,30 to 44,University,Canada,Pass,1.4419
228,10,1,Men,NA,certain,0,100%,65 or older,Some college,US,Pass,0.8497
229,1.5,4,Women,NA,certain,0,50%,45 to 64,Some college,US,Pass,0.5498
230,5,3,Women,NA,certain,0,50%,30 to 44,HS or less,US,Pass,0.6802
231,1.5,1,Women,0.233333333,risky,1,30%,18 to 29,University,US,Pass,0.3736
232,0,3,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Fail,1.2092
233,6,2,Women,NA,certain,0,100%,18 to 29,Some college,Canada,Pass,0.3379
234,10,3,Women,0.5,certain,1,70%,18 to 29,University,Canada,Pass,1.1168
235,4.5,NA,Women,NA,certain,1,100%,65 or older,University,US,NA,0.8545
236,9,2,Women,NA,certain,0,30%,65 or older,HS or less,US,Fail,0.7241
237,5,NA,Men,0.7,certain,0,30%,30 to 44,HS or less,US,Pass,1.0209
238,5.5,4,Men,0.366666667,certain,1,30%,30 to 44,Postgrad,US,Fail,1.7828
239,2,5,Women,0.266666667,risky,1,30%,30 to 44,University,Canada,Fail,1.3239
240,5.5,4,Men,NA,certain,0,30%,18 to 29,HS or less,US,Fail,1.323
241,3.5,4,Men,NA,risky,0,70%,45 to 64,HS or less,Canada,Fail,0.7829
242,5,2,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,2.1046
243,2,2,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.8945
244,1,4,Men,0.9,certain,0,30%,45 to 64,Some college,US,Pass,0.6353
245,5,NA,Women,0.633333333,certain,0,100%,30 to 44,Some college,Canada,Pass,0.3961
246,5,NA,Women,0.766666667,certain,0,50%,18 to 29,Some college,Canada,Pass,0.5558
247,5,3,Women,0.633333333,certain,1,50%,30 to 44,University,Canada,Pass,1.4419
248,6,3,Women,NA,certain,1,100%,30 to 44,Postgrad,US,Pass,1.1271
249,5,1,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Fail,1.0782
250,5.5,4,Men,0.166666667,certain,1,70%,30 to 44,Postgrad,US,Fail,1.1932
251,5,2,Women,0.966666667,certain,0,30%,45 to 64,Some college,US,Pass,0.5511
252,2.5,3,Women,NA,certain,1,30%,30 to 44,Postgrad,Canada,Fail,0.3642
253,0,NA,Women,1,risky,0,30%,45 to 64,HS or less,US,Fail,0.9478
254,5,3,Women,NA,certain,0,50%,45 to 64,Some college,US,Pass,0.7862
255,5,4,Men,0.4,certain,1,30%,18 to 29,University,Canada,Pass,2.3052
256,5,3,Women,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.6617
257,2,3,Women,0.3,certain,0,50%,45 to 64,Some college,Canada,Fail,0.53
258,7,1,Men,NA,certain,1,30%,30 to 44,University,US,Pass,1.245
259,5,3,Women,0.433333333,certain,1,70%,30 to 44,Postgrad,US,Fail,1.7823
260,4,4,Men,NA,certain,1,70%,18 to 29,University,US,Pass,1.8827
261,8,NA,Men,NA,certain,0,100%,18 to 29,HS or less,US,Pass,0.8036
262,9,3,Women,NA,certain,0,100%,30 to 44,Some college,US,Pass,0.6228
263,8.5,1,Women,NA,certain,0,100%,65 or older,Some college,US,Fail,0.5869
264,2,2,Men,0.4,certain,1,50%,18 to 29,Postgrad,US,Pass,1.4033
265,0,4,Men,0.466666667,risky,1,100%,45 to 64,Postgrad,Canada,Pass,1.1693
266,5,4,Women,NA,certain,0,70%,65 or older,Some college,US,Pass,0.6841
267,3.5,2,Women,NA,risky,0,100%,30 to 44,HS or less,Canada,Fail,0.5884
268,8,4,Men,0.366666667,certain,0,50%,45 to 64,Some college,Canada,Pass,0.8869
269,5,3,Women,0.5,certain,0,100%,45 to 64,Some college,US,Pass,0.5794
270,5,NA,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,0.9196
271,5,NA,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7323
272,2,4,Women,0.4,certain,0,70%,30 to 44,Some college,Canada,Pass,0.6983
273,6.5,3,Women,0.4,certain,1,50%,45 to 64,University,Canada,Pass,0.7867
274,5,1,Men,0.4,certain,1,50%,65 or older,Postgrad,Canada,Pass,0.9483
275,3.5,2,Men,NA,certain,1,30%,45 to 64,University,Canada,Fail,1.1813
276,5,4,Women,NA,certain,0,100%,45 to 64,Some college,Canada,Pass,0.53
277,5,4,Women,0.9,certain,0,100%,18 to 29,HS or less,US,Fail,0.5023
278,2.5,4,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,0.8276
279,6.5,2,Men,NA,certain,0,100%,65 or older,Some college,Canada,Pass,0.768
280,3,2,Men,NA,certain,0,70%,65 or older,Some college,Canada,Pass,0.9829
281,0,3,Women,0.433333333,risky,1,30%,18 to 29,Postgrad,Canada,Pass,0.8969
282,5.5,1,Men,0.533333333,certain,1,30%,45 to 64,University,Canada,Pass,0.6636
283,4.5,2,Women,NA,risky,0,50%,45 to 64,HS or less,Canada,Fail,1.1297
284,0,4,Women,0.433333333,certain,0,100%,30 to 44,HS or less,US,Fail,0.724
285,3.5,3,Men,0.6,certain,0,30%,30 to 44,Some college,Canada,Pass,0.5059
286,3,3,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,0.8858
287,5,4,Women,0.366666667,risky,1,50%,30 to 44,Postgrad,Canada,Fail,0.3642
288,10,2,Men,NA,risky,0,50%,45 to 64,HS or less,Canada,Pass,0.7752
289,0,4,Women,0.266666667,certain,0,100%,18 to 29,Some college,US,Pass,0.5812
290,10,3,Women,NA,risky,0,100%,30 to 44,HS or less,US,Fail,0.8695
291,5,NA,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,2.9802
292,10,1,Men,NA,certain,0,70%,30 to 44,Some college,Canada,Fail,0.5059
293,5,2,Men,NA,certain,1,50%,45 to 64,University,Canada,Pass,0.7103
294,1.5,NA,Women,0.3,certain,1,30%,30 to 44,Postgrad,Canada,Fail,0.3374
295,0,NA,Men,NA,certain,0,70%,45 to 64,Some college,Canada,Fail,0.6474
296,5,NA,Women,1,certain,0,30%,45 to 64,Some college,US,Fail,1.1219
297,1.5,3,Men,0.8,certain,0,30%,45 to 64,HS or less,US,Pass,0.9571
298,4.5,4,Women,NA,risky,0,50%,45 to 64,Some college,Canada,Fail,0.4397
299,5,2,Women,NA,certain,0,70%,18 to 29,Some college,Canada,Pass,0.7749
300,5,4,Men,NA,certain,0,50%,45 to 64,Some college,US,Pass,1.5947
301,4,4,Men,0.4,certain,0,100%,45 to 64,Some college,Canada,Pass,0.6474
302,3.5,NA,Women,NA,certain,1,30%,45 to 64,Postgrad,Canada,Pass,1.2983
303,10,1,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.2791
304,8,NA,Men,0.266666667,risky,0,30%,18 to 29,Some college,Canada,Pass,1.8002
305,5,3,Women,0.533333333,certain,0,100%,45 to 64,Some college,Canada,Pass,0.4726
306,8.5,2,Women,NA,risky,0,70%,65 or older,HS or less,Canada,Fail,0.8357
307,6,1,Women,0.8,certain,0,70%,18 to 29,HS or less,Canada,Pass,0.9908
308,0,1,Women,0.4,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.8827
309,3,4,Women,0.533333333,certain,0,100%,30 to 44,Some college,Canada,Fail,0.6983
310,5,3,Women,0.1,certain,0,50%,45 to 64,Some college,Canada,Fail,0.381
311,10,2,Men,0.166666667,certain,0,30%,30 to 44,HS or less,Canada,Fail,0.8344
312,6,4,Women,0.633333333,certain,0,50%,30 to 44,Some college,Canada,Pass,0.3961
313,2,4,Men,NA,certain,0,30%,65 or older,Some college,Canada,Pass,0.5521
314,3,3,Men,NA,risky,1,30%,65 or older,Postgrad,US,Pass,0.7204
315,5,2,Men,0.633333333,certain,1,30%,30 to 44,University,US,Pass,0.8344
316,4,4,Women,NA,certain,1,70%,65 or older,Postgrad,US,Fail,0.8696
317,3,4,Men,NA,certain,1,50%,45 to 64,University,Canada,Pass,0.6636
318,7.5,4,NA,NA,certain,0,100%,18 to 29,Some college,Canada,Pass,0.9172
319,7,3,Men,NA,certain,0,70%,65 or older,HS or less,US,Pass,0.7033
